Nesne Yönelimli Programlama Dersi
BİRSEN ÇALIŞKANTÜRK	99	99	  99
HASAN SÖNMEZ	99	98	98.5
GÜLDEHEN ÇAY	100	97	98.5
MUSTAFA KAYA	94	93	93.5
ERGÜN DAL	91	92	91.5
ŞENAY KULAÇ	96	83	89.5
GÜLŞAH TÜTEN	99	79	  89
MANSUR ERKURAN	89	88	88.5
BÜNYAMİN ERDEM	100	76	  88
URAL ÖZTÜRK	93	82	87.5
REYHAN SEZER	78	96	  87
BAHATTİN KULAÇ	91	82	86.5
FATİH ERDEM	78	94	  86
MEDİHA ULUÖZ	76	94	  85
NAGİHAN KANDEMİR	70	97	83.5
MEHMET ÇAY	86	80	  83
HAŞİM CANACANKATAN	70	95	82.5
YILMAZ EROĞLU	87	75	  81
HASAN YİĞİT	95	66	80.5
GAMZE YARBİL	74	87	80.5
AHMET BÜYÜKCAM	98	62	  80
BEDRİYE HALHALLI	76	83	79.5
TURGAY ORHON	91	67	  79
İSMAİL SARAÇOĞLU	90	67	78.5
GÖKHAN AKPINAR	89	68	78.5
DİLEK ERKURAN	81	75	  78
AHMET YÜZBAŞIOĞLU	93	63	  78
ERGÜN ÇALIŞKANTÜRK	90	66	  78
FATİH KULAKSIZ	84	72	  78
ÖZLEM YİĞİT	75	79	  77
FATİH ABACIOĞLU	88	66	  77
HASAN KULAKSIZ	69	84	76.5
SERKAN ŞEN	98	55	76.5
FERDİ TAHTACI	85	66	75.5
YAVUZ AKPINAR	66	85	75.5
LEMAN ORHON	54	96	  75
KÜRŞAD BÜYÜKCAM	57	92	74.5
BEDRİYE YİĞİT	75	74	74.5
CAHİT YÜCEL	80	68	  74
OKTAY AKSEL	80	68	  74
FATİH KULAÇ	88	58	  73
GÖKMEN VURAL	97	49	  73
BENGÜ UYANIK	89	57	  73
AHMET ÖZTÜRK	94	52	  73
SELMA ÇALIŞKANTÜRK	95	48	71.5
UMUT IŞIK	70	73	71.5
ERGÜN ERTEKİN	52	91	71.5
KUBİLAY KARAKUM	53	89	  71
CEREN ÇAY	59	83	  71
BÜNYAMİN ÇEVİK	94	47	70.5
CAHİT KARAKUM	77	63	  70
GÜLŞAH ŞEN	48	91	69.5
REYHAN BÜYÜKCAM	51	87	  69
BAHRİ ORHON	71	66	68.5
BAHRİ KULAKSIZ	58	79	68.5
MURAT IŞIK	55	82	68.5
