Name           Student No     Average   Status    
--------------------------------------------------
selver         102            89.6      Passed    
oğuz          105            58.2      Passed    
Eren           111            65.6      Passed    
Esma           134            61.4      Passed    
Osman          144            21.6      Failed    
ihsan          112            57.2      Passed    
oğuz          105            62.2      Passed    
polat          117            52.8      Passed    
mert           123            64.8      Passed    
yusuf          124            79        Passed    
zübeyde       127            70.6      Passed    
Esma           134            61.4      Passed    
Osman          144            21.6      Failed    
mehmet         156            59        Passed    
safiye         166            65        Passed    
hasan          174            47.6      Failed    
arda           178            64        Passed    
mustafa        210            54.4      Passed    
inrahim        216            79.6      Passed    
Ahmed          222            35.4      Failed    
ela            225            19.8      Failed    
Leyla          226            40.4      Failed    
nuri           230            36.2      Failed    
neşe          231            71.4      Passed    
kadir          237            56        Passed    
yasin          246            85.2      Passed    
zeliha         254            61.4      Passed    
salim          255            95        Passed    
emre           258            62        Passed    
idris          261            65.2      Passed    
elif           275            72.2      Passed    
irfan          291            58        Passed    
nuriye         297            46.4      Failed    
doruk          303            67        Passed    
yavuz          313            73.2      Passed    
furkan         321            57        Passed    
selin          326            61.4      Passed    
İhsan         327            81        Passed    
melike         330            61.8      Passed    
ismail         334            60        Passed    
Polat          340            100       Passed    
semih          342            55.6      Passed    
betül         354            65        Passed    
mahmut         363            46.4      Failed    
mehmet         376            69.6      Passed    
emir           377            54.4      Passed    
esma           379            59.8      Passed    
salih          384            9         Failed    
nazlı         392            49.8      Failed    
ayça          393            47        Failed    
ceylan         394            29        Failed    
osman          398            51.4      Passed    
veli           421            52        Passed    
derya          422            90.4      Passed    
fatma          423            54        Passed    
veli           432            70.2      Passed    
yunus          455            66.4      Passed    
Hakkı         457            48.6      Failed    
pırıl        458            50        Passed    
Gizemsu        460            20        Failed    
safinaz        468            32.6      Failed    
bilge          472            43.2      Failed    
berkay         475            53.8      Passed    
hüsnü        480            42.8      Failed    
sedef          486            74.6      Passed    
arda           504            62.8      Passed    
belgin         531            56        Passed    
ilker          533            56.8      Passed    
Harun          532            43.4      Failed    
Muhammed       543            55.8      Passed    
Hasan          544            35.4      Failed    
Ümit          545            70.4      Passed    
zeki           547            40.6      Failed    
idris          555            62.4      Passed    
Edanur         560            90        Passed    
gamze          573            62        Passed    
Hayri          586            34.2      Failed    
eyşan         602            55        Passed    
meryem         608            73.8      Passed    
dilek          627            51.6      Passed    
mehtap         648            42.8      Failed    
ali            650            73.2      Passed    
akif           656            61        Passed    
Erdem          677            78        Passed    
beytullah      682            70        Passed    
gizem          683            54.4      Passed    
osman          685            59        Passed    
Ertuğrul      686            70.6      Passed    
emre           695            19.6      Failed    
mehmet ali     723            48.8      Failed    
Adem           725            49        Failed    
alara          726            56.2      Passed    
mehmet         769            63.4      Passed    
aydın         784            63        Passed    
galip          785            72.6      Passed    
uğur          789            60.6      Passed    
Damla          808            75        Passed    
hilmi          828            22.4      Failed    
Elif           835            34.6      Failed    
salih          845            46.2      Failed    
maraz ali      846            48.4      Failed    
ömer          848            67.2      Passed    
temel          863            54        Passed    
kaan           889            33.2      Failed    
büşra        892            40.8      Failed    
yavuz          902            45.4      Failed    
güliz         905            45.8      Failed    
Sümeyye       908            73.4      Passed    
abdulhey       925            56.6      Passed    
arda           928            31.4      Failed    
selim          929            50.6      Passed    
ceylan         948            39.8      Failed    
reyhan         954            53.4      Passed    
özcan         958            61.6      Passed    
jale           961            65.8      Passed    
ezel           962            55.2      Passed    
Berk           963            75.2      Passed    
ayşe          964            51.8      Passed    
hüseyin       982            76.4      Passed    
çakır        983            72.8      Passed    
gizem          998            42.4      Failed    
Ali            999            42        Failed    
